Tipo,Precio,Área,Habitaciones,Baños,Estrato
Casa,1100000000,281,6,4,5
Casa,1300000000,220,4,5,4
Casa,650000000,134,3,2,6
Casa,618990000,230,3,3,5
Casa,1050000000,300,4,3,4
Casa,890000000,210,3,2,4
Casa,420000000,130,4,2,4
Casa,1595000000,223,3,4,6
Casa,2100000000,440,3,5,6
Casa,289000000,88,3,2,5
Casa,310000000,72,3,2,5
Casa,398000000,81,4,2,4
Casa,1530000000,238,3,4,4
Casa,990000000,90,2,2,5
Casa,2240000000,400,4,4,5
Casa,690000000,130,3,3,4
Casa,1900000000,458,4,5,6
Casa,720000000,160,3,3,5
Casa,340000000,75,4,1,5
Casa,370000000,170,3,2,4
Casa,415000000,89,3,2,5
Casa,870000000,200,3,3,6
Casa,610000000,112,3,3,4
Casa,412000000,102,3,2,5
Casa,1100000000,185,3,3,5
Casa,550000000,220,3,3,4
Casa,355000000,96,4,4,5
Casa,430000000,140,6,2,4
Casa,540000000,112,4,3,6
Casa,235000000,72,3,2,4
Casa,320000000,90,4,3,6
Casa,1150000000,227,4,5,5
Casa,590000000,240,3,4,5
Casa,1300000000,232,4,4,5
Casa,790000000,160,6,6,5
Casa,650000000,135,4,2,4
Casa,795000000,165,3,2,6
Casa,2150000000,317,7,8,6
Casa,650000000,160,4,4,5
Casa,1480000000,237,4,5,5
Casa,400000000,70,2,2,4
Casa,395000000,80,3,2,4
Casa,288000000,144,3,3,5
Casa,700000000,150,4,4,4
Casa,420000000,348,8,3,6
Casa,850000000,115,2,3,6
Casa,357893248,72,3,2,5
Casa,700000000,200,3,3,4
Casa,1050000000,167,3,2,5
Casa,800000000,200,3,2,4
Casa,390000000,77,3,2,5
Casa,600000000,200,5,4,5
Casa,540000000,150,3,2,5
Casa,1300000000,180,3,4,6
Casa,1650000000,295,3,4,6
Casa,1700000000,288,5,4,5
Casa,700000000,127,3,3,6
Casa,225000000,72,4,1,4
Casa,225000000,81,3,1,5
Casa,498000000,240,4,3,5
Casa,740000000,220,5,5,4
Casa,340000000,90,3,2,6
Casa,715000000,138,3,3,4
Casa,380000000,146,3,3,5
Casa,409000000,144,3,3,4
Casa,360000000,268,8,2,4
Casa,990000000,280,4,3,5
Casa,929000000,246,3,3,4
Casa,240000000,84,3,2,4
Casa,850000000,147,3,3,5
Casa,350000000,135,3,3,5
Casa,331726020,75,3,2,4
Casa,750000000,179,4,4,5
Casa,320000000,114,5,3,4
Casa,390000000,295,9,4,5
Casa,2600000000,387,3,3,6
Casa,350000000,100,3,2,5
Casa,285000000,75,3,2,5
Casa,600000000,180,3,2,5
Casa,400000000,115,3,2,5
Casa,470000000,120,6,2,5
Casa,410000000,90,3,2,4
Casa,380000000,150,5,4,4
Casa,620000000,158,3,3,5
Casa,360000000,70,3,2,5
Casa,450000000,200,8,3,5
Casa,2200000000,220,3,3,5
Casa,1050000000,190,5,3,5
Casa,1700000000,290,4,4,4
Casa,1890000000,315,3,4,6
Casa,850000000,260,6,4,5
Casa,790000000,288,4,4,5
Casa,1800000000,515,7,6,4
Casa,1300000000,253,4,4,5
Casa,750000000,260,3,3,4
Casa,380000000,90,3,4,5
Casa,880000000,224,3,4,6
Casa,539000000,216,5,2,6
Casa,1790000000,244,4,6,6
Casa,1800000000,507,4,6,6
Casa,670000000,120,3,3,4
Casa,1100000000,166,4,4,4
Casa,630000000,300,6,3,6
Casa,2500000000,400,6,7,6
Casa,1980000000,249,3,4,5
Casa,375000000,176,4,3,4
Casa,680000000,150,4,4,4
Casa,1898000000,280,4,5,5
Casa,1100000000,406,7,4,4
Casa,600000000,149,4,4,4
Casa,999000000,200,3,3,4
Casa,345000000,270,9,7,4
Casa,1950000000,176,3,4,5
Casa,1590000000,217,3,5,6
Casa,1310000000,222,4,4,5
Casa,1350000000,360,3,4,6
Casa,420000000,150,5,4,5
Casa,480000000,240,2,1,6
Casa,2200000000,430,4,5,5
Casa,700000000,473,4,3,5
Casa,600000000,269,8,4,6
Casa,610000000,160,3,2,4
Casa,500000000,200,4,4,5
Casa,420000000,100,2,1,5
Casa,1550000000,235,3,4,5
Casa,690000000,125,3,3,5
Casa,430000000,120,3,3,6
Casa,2100000000,370,4,5,5
Casa,535000000,140,3,3,6
Casa,1800000000,280,3,6,4
Casa,750000000,124,3,3,5
Casa,1390000000,354,4,5,4
Casa,1900000000,243,3,5,4
Casa,450000000,160,3,3,4
Casa,359703556,77,2,2,5
Casa,450000000,244,4,5,6
Casa,415000000,91,2,3,5
Casa,1420000000,252,3,5,5
Casa,2500000000,280,4,5,5
Casa,430000000,215,4,2,5
Casa,2500000000,350,4,5,4
Casa,400000000,94,4,2,5
Casa,850000000,300,4,4,5
Casa,600000000,208,4,4,4
Casa,2300000000,491,4,6,6
Casa,530000000,510,9,4,5
Casa,540000000,142,5,3,6
Casa,1450000000,200,3,3,6
Casa,370000000,70,2,2,6
Casa,360000000,237,8,3,6
Casa,357378738,70,2,2,5
Casa,720000000,160,3,5,6
Casa,390000000,150,4,2,5
Casa,1400000000,430,5,6,4
Casa,900000000,150,2,2,4
Casa,415000000,91,3,3,5
Casa,1500000000,265,3,3,5
Casa,2250000000,328,3,4,5
Casa,600000000,176,3,3,6
Casa,380000000,120,4,2,6
Casa,750000000,210,4,2,6
Casa,410000000,108,4,2,5
Casa,300000000,80,2,1,4
Casa,500000000,280,5,5,5
Casa,400000000,133,3,3,4
Casa,400000000,177,4,2,4
Casa,550000000,310,4,1,5
Casa,2250000000,328,3,3,5
Casa,1142000000,155,3,4,5
Casa,2590000000,255,3,5,5
Casa,660000000,200,3,2,5
Casa,360000000,85,3,2,5
Casa,400000000,100,2,1,5
Casa,950000000,142,5,3,4
Casa,1050000000,274,3,5,5
Casa,800000000,175,4,3,6
Casa,395000000,122,3,1,6
Casa,1200000000,300,4,4,4
Casa,580000000,127,3,2,5
Casa,750000000,240,4,5,5
Casa,1500000000,300,4,3,5
Casa,420000000,100,4,3,5
Casa,700000000,270,2,1,4
Casa,360000000,110,3,2,4
Casa,398000000,190,4,3,5
Casa,485000000,117,4,2,5
Casa,550000000,250,6,3,5
Casa,410000000,180,4,3,6
Casa,330000000,90,4,2,5
Casa,340000000,70,2,2,6
Casa,328658497,74,3,2,4
Casa,880000000,240,4,4,4
Casa,1600000000,420,4,4,4
Casa,460000000,213,6,3,5
Casa,350000000,80,4,1,6
Casa,450000000,120,5,2,5
Casa,380000000,100,3,1,5
