Inmueble,Precio,Área total,Habitaciones,Baños,Estrato,Ubicación
Apartamento,148.000.000,54 m² cubiertos,3 habitaciones,1 baño,,"Cl. 62b #1a 9-980, Comuna 5, Cali, Valle Del Cauca, Colombia, Chiminangos, Cali, Valle Del Cauca"
Apartamento,400.000.000,146 m² cubiertos,3 habitaciones,2 baños,6,"El Ingenio, Cali, Valle Del Cauca"
Apartamento,205.000.000,58 m² cubiertos,2 habitaciones,3 baños,2,"Ciudad Pacifica, Cali, Valle Del Cauca"
Apartamento,184.000.000,63 m² cubiertos,2 habitaciones,2 baños,,"Cl. 49 #120-52, Villa Fatima, Cali, Valle Del Cauca, Colombia, Cristóbal Colón, Cali, Valle Del Cauca"
Apartamento,175.000.000,51 m² cubiertos,2 habitaciones,2 baños,4,"Cra. 121 A #121 A, Villa Fatima, Cali, Valle Del Cauca, Colombia, Corregimiento El Hormiguero, Cali, Valle Del Cauca"
Apartamento,1.200.000.000,256 m² cubiertos,3 habitaciones,5 baños,6,"Juanambú, Cali, Valle Del Cauca"
Apartamento,225.000.000,60 m² cubiertos,2 habitaciones,2 baños,,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,170.000.000,46 m² cubiertos,3 habitaciones,1 baño,,"Cra 98 #2a-60, Bajo Jordan, Cali, Valle Del Cauca, Colombia, Meléndez, Cali, Valle Del Cauca"
Apartamento,200.000.000,62 m² cubiertos,3 habitaciones,2 baños,,"Cra. 90 #54c50, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,260.000.000,60 m² cubiertos,2 habitaciones,2 baños,,"Cl 60A #120-64, Villa Fatima, Cali, Valle Del Cauca, Colombia, Bochalema, Cali, Valle Del Cauca"
Apartamento,195.000.000,65 m² cubiertos,3 habitaciones,2 baños,4,"Ciudad 2000, Cali, Valle Del Cauca"
Apartamento,330.000.000,83 m² cubiertos,3 habitaciones,2 baños,4,"La Flora, Cali, Valle Del Cauca"
Apartamento,660.000.000,110 m² cubiertos,3 habitaciones,3 baños,,"Bella Suiza, Bella Suiza Alta, Cali, Valle Del Cauca"
Apartamento,630.000.000,92 m² cubiertos,3 habitaciones,3 baños,6,"Zona Sur, Ciudad Jardin, Cali, Valle Del Cauca"
Apartamento,874.900.000,164 m² cubiertos,3 habitaciones,4 baños,5,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,590.000.000,81 m² cubiertos,3 habitaciones,2 baños,5,"Guadalupe, Cali, Valle Del Cauca"
Apartamento,1.000.000.000,260 m² cubiertos,3 habitaciones,5 baños,,"Santa Teresita, Cali, Valle Del Cauca"
Apartamento,320.000.000,74 m² cubiertos,2 habitaciones,2 baños,4,"Ciudad Pacifica, Cali, Valle Del Cauca"
Apartamento,310.000.000,72 m² cubiertos,2 habitaciones,2 baños,5,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,600.000.000,118 m² cubiertos,2 habitaciones,3 baños,6,"San Fernando, Cali, Valle Del Cauca"
Apartamento,290.000.000,75 m² cubiertos,3 habitaciones,2 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,310.000.000,68 m² cubiertos,3 habitaciones,2 baños,5,"La Hacienda, Cali, Valle Del Cauca"
Apartamento,185.000.000,52 m² cubiertos,2 habitaciones,2 baños,,"Ciudad Guabinas, Yumbo, Valle Del Cauca"
Apartamento,197.000.000,64 m² cubiertos,2 habitaciones,2 baños,4,"Bochalema, Cali, Valle Del Cauca"
Apartamento,237.482.712,66 m² cubiertos,2 habitaciones,2 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,220.000.000,54 m² cubiertos,2 habitaciones,2 baños,3,"Ciudad Pacifica, Cali, Valle Del Cauca"
Apartamento,220.000.000,56 m² cubiertos,2 habitaciones,2 baños,4,"Bochalema, Cali, Valle Del Cauca"
Apartamento,165.000.000,60 m² cubiertos,3 habitaciones,1 baño,3,"La Base, Cali, Valle Del Cauca"
Apartamento,273.500.000,65 m² cubiertos,3 habitaciones,2 baños,4,"Meléndez, Cali, Valle Del Cauca"
Apartamento,220.000.000,64 m² cubiertos,3 habitaciones,2 baños,5,"La Hacienda, Cali, Valle Del Cauca"
Apartamento,310.000.000,77 m² cubiertos,2 habitaciones,2 baños,4,"Brisas De Los Alamos, Cali, Valle Del Cauca"
Apartamento,230.000.000,60 m² cubiertos,2 habitaciones,2 baños,4,"Ciudad Pacifica, Cali, Valle Del Cauca"
Apartamento,288.703.805,65 m² cubiertos,3 habitaciones,2 baños,,"El Bosque, Cali, Valle Del Cauca"
Apartamento,280.000.000,62 m² cubiertos,3 habitaciones,2 baños,4,"El Refugio, Cali, Valle Del Cauca"
Apartamento,395.000.000,93 m² cubiertos,3 habitaciones,3 baños,5,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,195.000.000,70 m² cubiertos,2 habitaciones,2 baños,5,"Cuarto De Legua, Cali, Valle Del Cauca"
Apartamento,180.000.000,51 m² cubiertos,3 habitaciones,2 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,190.000.000,69 m² cubiertos,3 habitaciones,2 baños,,"Cl. 12 #39-40, Departamental, Cali, Valle Del Cauca, Colombia, Departamental, Cali, Valle Del Cauca"
