Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Casa,3900000000,3,7,6,6,Zona Sur Pance
Casa,230000000,236,3,3,5,Talanga
Casa,450000000,300,7,4,3,La Base
Casa,545000000,560,16,8,3,Los Pinos
Casa,450000000,230,7,3,2,Nueva Base
Casa,320000000,110,5,2,5,Quintas De Salomia
Casa,455000000,162,3,4,5,Ciudad Country Jamund
Casa,390000000,230,8,3,3,Villa Colombia
Casa,425000000,500,5,2,3,Atanasio Girardot
Casa,3700000000,824,5,6,5,Arboledas
Casa,350000000,250,4,4,3,Alamos
Casa,475000000,398,11,5,5,San Vicente
Casa,280000000,180,2,2,5,Valle De Lili Comuna Colombia Valle Del Lili
Casa,180000000,150,4,2,5,Decepaz
Casa,250000000,280,8,5,1,Los Naranjos
Casa,1260000000,320,4,3,5,Ciudad Jard n
Casa,780000000,260,3,4,5,Calle Oeste Santa Rita
Casa,830000000,237,5,4,5,Cl b San Fernando Colombia San Fernando
Casa,248000000,105,6,2,1,Poblado
Casa,369900000,300,9,3,5,Cra Manuela Beltr n
Casa,890000000,525,8,9,5,Cra d Colombia Las Acacias
Casa,258000000,112,4,2,3,SN pso
Casa,430000000,300,12,4,5,Nueva Base
Casa,580000000,400,7,5,4,Vipasa
Casa,207000000,140,3,1,5,SN pso
Casa,193000000,120,4,3,1,Ciudadela Del Rio
Casa,230000000,90,3,2,3,Palmeras Del Norte
Casa,480000000,300,10,7,3,La Rivera
Casa,550000000,250,4,3,4,Vipasa
Casa,1800000000,500,5,4,5,El Ingenio
Casa,190000000,115,3,2,3,Villa Del Prado
Casa,365000000,180,6,3,5,La Base
Casa,600000000,290,5,5,4,El Bosque
Casa,180000000,270,8,4,5,Los Naranjos
Casa,105000000,58,3,1,2,Villa Del Lago
Casa,107000000,78,3,1,1,Puertas Del Sol
Casa,580000000,384,12,6,3,Los Andes
Casa,600000000,620,9,4,3,Atanasio Girardot
Casa,570000000,180,4,4,5,San Fernando
Casa,972000000,314,9,4,5,Cl COMUNA Colombia San Antonio
Casa,588000000,190,7,5,5,Cra b COMUNA Colombia San Antonio
Casa,200000000,320,9,2,1,De Octubre
Casa,300000000,154,6,2,3,Nueva Base
Casa,4495000000,536,6,7,5,Pance
