Tipo,Precio,Área,Habitaciones,Baños,Estrato
Apartamento,245000000,51,2,2,5
Apartamento,295000000,60,2,2,4
Apartamento,240000000,46,3,1,5
Apartamento,270000000,62,3,2,6
Apartamento,330000000,60,2,2,5
Apartamento,355000000,65,3,2,4
Apartamento,400000000,83,3,2,5
Apartamento,660000000,110,3,3,6
Apartamento,630000000,92,3,3,5
Apartamento,590000000,81,3,2,6
Apartamento,390000000,74,2,2,5
Apartamento,380000000,72,2,2,4
Apartamento,600000000,118,2,3,5
Apartamento,360000000,75,3,2,5
Apartamento,380000000,68,3,2,5
Apartamento,267000000,64,2,2,6
Apartamento,307482712,66,2,2,5
Apartamento,290000000,54,2,2,4
Apartamento,290000000,56,2,2,5
Apartamento,235000000,60,3,1,4
Apartamento,343500000,65,3,2,6
Apartamento,290000000,64,3,2,5
Apartamento,380000000,77,2,2,4
Apartamento,300000000,60,2,2,5
Apartamento,358703805,65,3,2,5
Apartamento,350000000,62,3,2,4
Apartamento,395000000,93,3,3,4
Apartamento,265000000,70,2,2,5
Apartamento,250000000,51,3,2,5
Apartamento,260000000,69,3,2,4
Apartamento,370000000,84,3,3,4
Apartamento,367000000,80,3,2,5
Apartamento,230000000,54,3,2,6
Apartamento,360000000,65,3,2,5
Apartamento,380000000,95,3,2,6
Apartamento,340000000,78,2,2,4
Apartamento,310000000,34,1,1,6
Apartamento,340000000,78,2,2,4
Apartamento,244000000,64,3,1,4
Apartamento,415000000,82,3,2,5
Apartamento,350000000,60,3,2,5
Apartamento,360000000,72,2,2,5
Apartamento,490000000,107,3,4,4
Apartamento,400000000,80,3,2,6
Apartamento,530000000,112,3,3,4
Apartamento,318000000,65,3,2,4
Apartamento,390000000,65,4,3,6
Apartamento,368000000,143,4,2,5
Apartamento,395000000,101,3,3,6
Apartamento,390000000,122,3,3,6
Apartamento,260000000,77,3,2,5
Apartamento,360000000,70,3,2,6
Apartamento,500000000,139,4,3,6
Apartamento,305000000,62,2,2,6
Apartamento,410000000,90,3,3,4
Apartamento,400000000,72,3,2,4
Apartamento,360000000,75,3,2,4
Apartamento,415000000,83,4,2,6
Apartamento,380000000,98,3,2,4
Apartamento,330000000,95,3,2,4
Apartamento,390000000,85,3,3,5
Apartamento,485000000,124,4,4,6
Apartamento,379800000,85,3,3,4
Apartamento,290000000,65,3,2,5
Apartamento,360000000,86,3,3,4
Apartamento,440000000,98,3,3,5
Apartamento,680000000,76,2,2,6
Apartamento,370000000,70,3,2,5
Apartamento,515000000,199,4,4,4
Apartamento,370000000,70,3,2,4
Apartamento,385000000,70,2,2,5
Apartamento,284000000,58,3,2,5
Apartamento,263500000,64,3,2,5
Apartamento,255000000,53,3,2,4
Apartamento,355000000,96,3,2,5
Apartamento,265000000,59,2,2,4
Apartamento,350000000,60,3,2,6
Apartamento,299000000,72,3,2,5
Apartamento,499999999,90,2,2,5
Apartamento,340000000,60,3,2,4
Apartamento,238000000,56,2,2,4
Apartamento,235000000,60,2,2,4
Apartamento,275000000,60,2,1,4
Apartamento,400000000,92,3,2,4
Apartamento,540000000,107,3,4,5
Apartamento,270000000,55,3,2,4
Apartamento,530000000,102,3,3,4
Apartamento,385000000,70,2,2,6
Apartamento,380000000,96,3,3,5
Apartamento,365000000,86,3,2,4
Apartamento,280000000,60,3,2,5
Apartamento,280000000,55,3,2,4
Apartamento,287150000,72,3,2,4
Apartamento,370000000,86,3,2,5
Apartamento,280000000,65,2,2,6
Apartamento,340000000,56,3,2,5
Apartamento,272000000,59,2,2,4
Apartamento,379000000,102,3,2,4
Apartamento,240000000,55,3,2,4
Apartamento,478000000,132,4,3,6
Apartamento,269999000,62,2,2,4
Apartamento,380000000,68,3,2,5
