Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,1100000000,278,4,5,6,Normand a
Apartamento,345000000,82,3,2,5,San Fernando
Apartamento,280000000,60,3,2,4,Guadalupe
Apartamento,290000000,72,2,2,4,Cra a Comuna Colombia Las Vegas
Apartamento,490000000,107,3,4,5,Valle Del Lili
Apartamento,330000000,80,3,2,4,Jamund Colombia El Castillo
Apartamento,530000000,112,3,3,4,Cra Oeste La Chacra Colombia Cristales
Apartamento,248000000,65,3,2,4,Cra Colombia Valle Del Lili
Apartamento,320000000,65,4,3,4,Cra Las Vegas Colombia Multicentro
Apartamento,298000000,143,4,2,4,Cra Bloque I Apto Pampa Linda Colombia Ol mpico
Apartamento,325000000,101,3,3,4,Cuarto De Legua Colombia
Apartamento,320000000,122,3,3,4,Cra Bis Comuna Colombia Capri
Apartamento,190000000,77,3,2,4,Cl Nte b Norte g El Rincon Colombia Alamos
Apartamento,290000000,70,3,2,4,Cra Colombia Valle Del Lili
Apartamento,500000000,139,4,3,4,CARRERA C A El Ingenio
Apartamento,235000000,62,2,2,4,Vegas De Confamdi Cra C Colombia
Apartamento,410000000,90,3,3,4,Valle De Lili Comuna Colombia Valle Del Lili
Apartamento,400000000,72,3,2,4,Cra a Cuarto De Legua Colombia
Apartamento,290000000,75,3,2,4,Cl Colombia Valle Del Lili
Apartamento,345000000,83,4,2,4,Cl Colombia Valle Del Lili
