Inmueble,Precio,Área total,Habitaciones,Baños,Estrato,Ubicación
Casa,630.000.000,240 m² cubiertos,5 habitaciones,5 baños,5,"Prados Del Norte, Cali, Valle Del Cauca"
Casa,550.000.000,90 m² cubiertos,4 habitaciones,4 baños,,"Caney, Cali, Valle Del Cauca"
Casa,875.000.000,250 m² cubiertos,4 habitaciones,4 baños,,"AVENIDA 9 #25N-150, Cali, Valle Del Cauca"
Casa,2.500.000.000,800 m² cubiertos,5 habitaciones,5 baños,,"Calle 16 A # 125-42, Pance, Cali, Valle Del Cauca"
Casa,550.000.000,247 m² cubiertos,3 habitaciones,3 baños,,"Cra. 64a #1-70 C 47, La Cascada, Cali, Valle Del Cauca, Colombia, La Cascada, Cali, Valle Del Cauca"
Casa,920.000.000,600 m² cubiertos,4 habitaciones,4 baños,,"Buenaventura #1020, Borrero Ayerbe, Dagua, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Casa,4.300.000.000,800 m² cubiertos,5 habitaciones,7 baños,,"CALLE 19A 158-135, Pance, Cali, Valle Del Cauca"
Casa,1.400.000.000,337 m² cubiertos,6 habitaciones,4 baños,,"Dapa, Yumbo, Valle Del Cauca, Colombia, Yumbo, Valle Del Cauca"
Casa,480.000.000,158 m² cubiertos,4 habitaciones,3 baños,,"Cra. 98b #34-53, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Casa,5.900.000.000,1.660 m² cubiertos,5 habitaciones,10 baños,,"Ciudad Jardin, Ciudad Jardín, Cali, Valle Del Cauca"
Casa,4.500.000.000,2.200 m² cubiertos,7 habitaciones,9 baños,,"Cl. 2a #22-3, Jamundí, Valle Del Cauca, Colombia, Jamundí, Valle Del Cauca"
Casa,1.300.000.000,429 m² cubiertos,6 habitaciones,12 baños,,"Santa Elena, Cali, Valle Del Cauca, Colombia, Santa Elena, Cali, Valle Del Cauca"
Casa,2.000.000.000,600 m² cubiertos,9 habitaciones,9 baños,,"Cra. 112, Cali, Valle Del Cauca, Colombia, Bochalema, Cali, Valle Del Cauca"
Casa,1.700.000.000,338 m² cubiertos,13 habitaciones,10 baños,,"La Flora, Cali, Valle Del Cauca"
Casa,360.000.000,149 m² cubiertos,6 habitaciones,2 baños,,"CARRERA 19 #10-63, Bretaña, Cali, Valle Del Cauca"
Casa,500.000.000,188 m² cubiertos,3 habitaciones,3 baños,,"Cl. 57, Comuna 5, Cali, Valle Del Cauca, Colombia, Salomia, Cali, Valle Del Cauca"
Casa,2.400.000.000,450 m² cubiertos,5 habitaciones,5 baños,6,"Pance, Cali, Valle Del Cauca"
Casa,330.000.000,160 m² cubiertos,3 habitaciones,2 baños,,"Cra. 83 #34-26, Cali, Valle Del Cauca, Colombia, Ciudadela Comfandi, Cali, Valle Del Cauca"
Casa,1.250.000.000,245 m² cubiertos,4 habitaciones,3 baños,,"Dapa, Yumbo, Valle Del Cauca, Colombia, Dapa, Cali, Valle Del Cauca"
Casa,750.000.000,220 m² cubiertos,3 habitaciones,3 baños,4,"El Limonar, Cali, Valle Del Cauca"
Casa,1.450.000.000,341 m² cubiertos,7 habitaciones,6 baños,,"Cl. 6 #118-20, Barrio Pance, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Casa,490.000.000,500 m² cubiertos,9 habitaciones,4 baños,,"Carrera 1D 72 - 100, Floralia, Cali, Valle Del Cauca"
Casa,500.000.000,255 m² cubiertos,6 habitaciones,4 baños,,"La Base, Comuna 8, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Casa,2.900.000.000,808 m² cubiertos,17 habitaciones,6 baños,,"Cra. 10 #4-9, Bogotá, Colombia, La Candelaria, Cali, Valle Del Cauca"
Casa,965.000.000,367 m² cubiertos,5 habitaciones,5 baños,,"Lago De La Babilla, Ciudad Jardín, Cali, Valle Del Cauca, Colombia, Ciudad Jardín, Cali, Valle Del Cauca"
Casa,448.000.000,142 m² cubiertos,3 habitaciones,3 baños,,"Calle 28 #98-75, Valle Del Lili, Cali, Valle Del Cauca"
Casa,440.000.000,112 m² cubiertos,4 habitaciones,4 baños,,"Avenida Montana, Jamundí, Valle Del Cauca, Colombia, Jamundí, Valle Del Cauca"
Casa,450.000.000,91 m² cubiertos,3 habitaciones,3 baños,,"Valle Del Lili, Cali, Valle Del Cauca"
Casa,2.300.000.000,457 m² cubiertos,5 habitaciones,5 baños,,"Ciudad Jardín, Cali, Valle Del Cauca, Colombia, Ciudad Jardín, Cali, Valle Del Cauca"
Casa,345.000.000,122 m² cubiertos,4 habitaciones,2 baños,,"Transversal 25 # 31B - 113, 20 De Julio, Cali, Valle Del Cauca"
Casa,1.700.000.000,300 m² cubiertos,4 habitaciones,5 baños,,"Cañasgordas, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Casa,3.000.000.000,960 m² cubiertos,13 habitaciones,12 baños,,"La Voragine, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Casa,1.900.000.000,260 m² cubiertos,3 habitaciones,3 baños,3,"Cali, Valle Del Cauca"
Casa,680.000.000,155 m² cubiertos,3 habitaciones,3 baños,4,"Cuidad 2000, Cali, Valle Del Cauca"
Casa,570.000.000,135 m² cubiertos,4 habitaciones,4 baños,,"Las Vegas, Cali, Valle Del Cauca, Colombia, Las Vegas, Cali, Valle Del Cauca"
Casa,182.000.000,195 m² cubiertos,8 habitaciones,3 baños,,"Cra 1f #77-22, Cali, Valle Del Cauca"
Casa,1.850.000.000,600 m² cubiertos,5 habitaciones,6 baños,,"Pance, Cali, Valle Del Cauca"
Casa,2.100.000.000,270 m² cubiertos,3 habitaciones,4 baños,,"HF44+CP, Yumbo, Arroyo Hondo, Yumbo, Valle Del Cauca, Colombia, Yumbo, Valle Del Cauca"
Casa,1.500.000.000,150 m² cubiertos,6 habitaciones,5 baños,,"Cra. 85 #13b-58, El Ingenio, Cali, Valle Del Cauca, Colombia, El Ingenio, Cali, Valle Del Cauca"
Casa,850.000.000,137 m² cubiertos,15 habitaciones,15 baños,,"CARRERA 7G BIS #70-103, Cali, Valle Del Cauca"
Casa,2.200.000.000,480 m² cubiertos,5 habitaciones,5 baños,,"Cl. 15 #123-250, Barrio Pance, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Casa,1.400.000.000,250 m² cubiertos,6 habitaciones,4 baños,4,"La Morada, Cali, Valle Del Cauca"
Casa,650.000.000,480 m² cubiertos,4 habitaciones,3 baños,,"CALLE 18B # D 23-57, Santa Elena, Cali, Valle Del Cauca"
Casa,800.000.000,576 m² cubiertos,8 habitaciones,7 baños,,"San Vicente, Cali, Valle Del Cauca"
Casa,669.999.900,367 m² cubiertos,6 habitaciones,3 baños,3,"Cali, Valle Del Cauca"
Casa,1.230.000.000,760 m² cubiertos,4 habitaciones,3 baños,,"Cra. 42g #79b-58, Nte. Centro Historico, Barranquilla, Atlántico, Colombia, Ciudad Jardín, Cali, Valle Del Cauca"
Casa,550.000.000,315 m² cubiertos,4 habitaciones,4 baños,,"Cl. 48 #67a-32, Cali, Valle Del Cauca, Colombia, Ciudad 2000, Cali, Valle Del Cauca"
Casa,2.500.000.000,150 m² cubiertos,4 habitaciones,2 baños,,"Calle 19 #168, Pance, Cali, Valle Del Cauca"
Casa,1.800.000.000,120 m² cubiertos,3 habitaciones,1 baño,,"Carrera 44 #6b-85, Cali, Valle Del Cauca"
Casa,390.000.000,220 m² cubiertos,3 habitaciones,2 baños,,"Avenida 2 I No. 47-45, La Merced, Cali, Valle Del Cauca"
Casa,275.000.000,76 m² cubiertos,3 habitaciones,3 baños,,"Villa Del Sol, Cali, Villa Del Sol, Cali, Valle Del Cauca"
Casa,430.000.000,180 m² cubiertos,5 habitaciones,1 baño,,"Cra. 1k #59-166, Los Andes, Cali, Valle Del Cauca, Colombia, Paseo De Los Almendros, Cali, Valle Del Cauca"
Casa,280.000.000,123 m² cubiertos,5 habitaciones,1 baño,,"Cl. 20 #10a-31, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Casa,350.000.000,170 m² cubiertos,6 habitaciones,2 baños,,"Calle 33F # 19-28, Santa Mónica Popular, Cali, Valle Del Cauca"
Casa,830.000.000,370 m² cubiertos,4 habitaciones,4 baños,,"Av 4 Norte # 23B  22 / 18, Versalles, Cali, Valle Del Cauca"
Casa,1.650.000.000,280 m² cubiertos,4 habitaciones,5 baños,,"Pance, Cali, Valle Del Cauca"
Casa,730.000.000,256 m² cubiertos,4 habitaciones,4 baños,,"Prados Del Norte, Cali, Valle Del Cauca"
Casa,1.530.000.000,321 m² cubiertos,4 habitaciones,5 baños,,"COMUNA 3, Cali, Valle Del Cauca, Colombia, Yumbo, Valle Del Cauca"
Casa,750.000.000,340 m² cubiertos,4 habitaciones,5 baños,,"Tequendama, Cali, Valle Del Cauca"
Casa,800.000.000,320 m² cubiertos,14 habitaciones,5 baños,,"Cl. 21 #3-39, San Nicolas, Cali, Valle Del Cauca, Colombia, Versalles, Cali, Valle Del Cauca"
Casa,540.000.000,256 m² cubiertos,4 habitaciones,2 baños,,"Cra. 45 #3a-156, Cali, Valle Del Cauca, Colombia, El Lido, Cali, Valle Del Cauca"
Casa,4.800.000.000,640 m² cubiertos,5 habitaciones,7 baños,,"Cl. 2a #116-420, La Finca, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Casa,480.000.000,100 m² cubiertos,3 habitaciones,3 baños,4,"Cuidad 2000, Cali, Valle Del Cauca"
Casa,320.000.000,158 m² cubiertos,4 habitaciones,1 baño,,"Cra. 28 #26b-130, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Casa,119.000.000,300 m² cubiertos,3 habitaciones,3 baños,,"CRA 26g #108-73, Manuela Beltrán, Cali, Valle Del Cauca"
Casa,280.000.000,125 m² cubiertos,4 habitaciones,2 baños,,"CRA 43 #55-70, Morichal De Comfandi, Cali, Valle Del Cauca"
Casa,1.700.000.000,270 m² cubiertos,5 habitaciones,6 baños,,"KM 7, Via A Dapa, Yumbo, Valle Del Cauca, Colombia, Yumbo, Valle Del Cauca"
Casa,470.000.000,400 m² cubiertos,7 habitaciones,5 baños,,"Cra. 12d #58-69, Comuna 8, Cali, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Casa,780.000.000,150 m² cubiertos,4 habitaciones,3 baños,5,"Ciudadela Pasoancho, Cali, Valle Del Cauca"
Casa,279.000.000,153 m² cubiertos,4 habitaciones,1 baño,,"CARRERA 28B #42C-49, Sindical, Cali, Valle Del Cauca"
Casa,389.900.000,230 m² cubiertos,9 habitaciones,6 baños,,"San Luis, Cali, Valle Del Cauca, Colombia, San Luís, Cali, Valle Del Cauca"
Casa,1.850.000.000,822 m² cubiertos,6 habitaciones,6 baños,,"Pance, Cali, Valle Del Cauca, Colombia, Pance, Cali, Valle Del Cauca"
Casa,250.000.000,112 m² cubiertos,4 habitaciones,2 baños,3,"Calipso, Cali, Valle Del Cauca"
Casa,259.900.000,100 m² cubiertos,3 habitaciones,3 baños,,"Calle 71 A #8n-72, Los Guaduales, Cali, Valle Del Cauca"
Casa,2.200.000.000,377 m² cubiertos,3 habitaciones,3 baños,,"Dapa, Yumbo, Valle Del Cauca, Colombia, Yumbo, Valle Del Cauca"
Casa,2.200.000.000,500 m² cubiertos,3 habitaciones,2 baños,6,"Pance, Cali, Valle Del Cauca"
Casa,345.000.000,225 m² cubiertos,9 habitaciones,3 baños,,"Ciudad Cordoba, Cali, Valle Del Cauca, Colombia, Ciudad Córdoba, Cali, Valle Del Cauca"
Casa,370.000.000,149 m² cubiertos,5 habitaciones,2 baños,,"Cl. 13c #36b17, Cristobal Colon, Cali, Valle Del Cauca, Colombia, El Dorado, Cali, Valle Del Cauca"
Casa,494.000.000,124 m² cubiertos,4 habitaciones,4 baños,,"Carrera 70 #42-18, Ciudad 2000, Cali, Valle Del Cauca"
Casa,1.390.000.000,600 m² cubiertos,4 habitaciones,5 baños,,"Cl. 18 #180-10, Cali, Valle Del Cauca, Colombia, Cañasgordas, Cali, Valle Del Cauca"
Casa,1.400.000.000,600 m² cubiertos,8 habitaciones,9 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Casa,175.000.000,80 m² cubiertos,3 habitaciones,2 baños,,"CALLE 71D #6N-76, Los Guaduales, Cali, Valle Del Cauca"
Casa,240.000.000,100 m² cubiertos,3 habitaciones,1 baño,3,"Flora Industrial, Cali, Valle Del Cauca"
Casa,1.600.000.000,497 m² cubiertos,20 habitaciones,6 baños,,"Cl. 13 #4-30, COMUNA 3, Cali, Valle Del Cauca, Colombia, San Antonio, Cali, Valle Del Cauca"
Casa,430.000.000,300 m² cubiertos,6 habitaciones,4 baños,,"Nueva Floresta, Cali, Valle Del Cauca, Colombia, Nueva Floresta, Cali, Valle Del Cauca"
Casa,430.000.000,91 m² cubiertos,3 habitaciones,3 baños,5,"Ciudad Pacifica, Cali, Valle Del Cauca"
Casa,1.538.000.000,497 m² cubiertos,20 habitaciones,6 baños,,"Cl. 13 #4-30, COMUNA 3, Cali, Valle Del Cauca, Colombia, San Antonio, Cali, Valle Del Cauca"
Casa,315.000.000,144 m² cubiertos,5 habitaciones,2 baños,,"Cra. 65 #4-135, Cali, Valle Del Cauca, Colombia, Villas De Veracruz, Cali, Valle Del Cauca"
Casa,185.000.000,165 m² cubiertos,5 habitaciones,1 baño,,"Cali, Valle Del Cauca"
Casa,239.900.000,178 m² cubiertos,3 habitaciones,1 baño,,"Cra. 9a #73-88, Andres Sanin, Cali, Palmira, Valle Del Cauca, Colombia, Cali, Valle Del Cauca"
Casa,980.000.000,250 m² cubiertos,5 habitaciones,4 baños,3,"El Ingenio, Cali, Valle Del Cauca"
Casa,210.000.000,144 m² cubiertos,3 habitaciones,2 baños,,"Morichal De Comfandi, Cali, Valle Del Cauca, Colombia, Morichal De Comfandi, Cali, Valle Del Cauca"
Casa,430.000.000,270 m² cubiertos,4 habitaciones,6 baños,,"Cra. 100 #45- 100, Cali, Valle Del Cauca, Colombia, Valle Del Lili, Cali, Valle Del Cauca"
Casa,1.250.000.000,244 m² cubiertos,5 habitaciones,6 baños,6,"Ciudad Jardín, Cali, Valle Del Cauca"
Casa,1.400.000.000,417 m² totales,5 habitaciones,6 baños,,"Granada, Cali, Valle Del Cauca"
Casa,400.000.000,170 m² cubiertos,6 habitaciones,3 baños,,"BELALCAZAR, Belalcazar, Cali, Valle Del Cauca"
Casa,470.000.000,270 m² cubiertos,6 habitaciones,3 baños,4,"Villas De Guadalupe  SN, Villas De Guadalupe, Cali, Valle Del Cauca"
